,Oxygen_Consumption_Studies
123,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2512&GenusName=Eptatretus&SpeciesName=stoutii&fc=2&stockcode=2708
124,https://www.fishbase.de/physiology/OxygenDataList.php?ID=8577&GenusName=Eretmodus&SpeciesName=cyanostictus&fc=349&stockcode=8892
125,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2986&GenusName=Erimyzon&SpeciesName=oblongus&fc=125&stockcode=3182
126,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4830&GenusName=Erpetoichthys&SpeciesName=calabaricus&fc=31&stockcode=5060
127,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5150&GenusName=Esomus&SpeciesName=danrica&fc=122&stockcode=5389
128,https://www.fishbase.de/physiology/OxygenDataList.php?ID=258&GenusName=Esox&SpeciesName=lucius&fc=74&stockcode=272
129,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2711&GenusName=Esox&SpeciesName=masquinongy&fc=74&stockcode=2907
130,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3402&GenusName=Etheostoma&SpeciesName=blennioides&fc=306&stockcode=3598
131,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3404&GenusName=Etheostoma&SpeciesName=boschungi&fc=306&stockcode=3600
132,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3416&GenusName=Etheostoma&SpeciesName=duryi&fc=306&stockcode=3612
133,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3421&GenusName=Etheostoma&SpeciesName=flabellare&fc=306&stockcode=3617
134,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3424&GenusName=Etheostoma&SpeciesName=fusiforme&fc=306&stockcode=3620
135,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3460&GenusName=Etheostoma&SpeciesName=rufilineatum&fc=306&stockcode=3656
136,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3469&GenusName=Etheostoma&SpeciesName=squamiceps&fc=306&stockcode=3665
137,https://www.fishbase.de/physiology/OxygenDataList.php?ID=96&GenusName=Euthynnus&SpeciesName=affinis&fc=416&stockcode=110
138,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5145&GenusName=Exodon&SpeciesName=paradoxus&fc=102&stockcode=5383
139,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3191&GenusName=Fundulus&SpeciesName=grandis&fc=570&stockcode=3387
140,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3192&GenusName=Fundulus&SpeciesName=heteroclitus&fc=570&stockcode=3388
141,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3200&GenusName=Fundulus&SpeciesName=parvipinnis&fc=570&stockcode=3396
142,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3205&GenusName=Fundulus&SpeciesName=similis&fc=570&stockcode=3401
143,https://www.fishbase.de/physiology/OxygenDataList.php?ID=318&GenusName=Gadus&SpeciesName=chalcogrammus&fc=183&stockcode=332
144,https://www.fishbase.de/physiology/OxygenDataList.php?ID=308&GenusName=Gadus&SpeciesName=macrocephalus&fc=183&stockcode=322
145,https://www.fishbase.de/physiology/OxygenDataList.php?ID=308&GenusName=Gadus&SpeciesName=macrocephalus&fc=183&stockcode=59735
146,https://www.fishbase.de/physiology/OxygenDataList.php?ID=69&GenusName=Gadus&SpeciesName=morhua&fc=183&stockcode=79
147,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3215&GenusName=Gambusia&SpeciesName=affinis&fc=216&stockcode=3411
148,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4521&GenusName=Gambusia&SpeciesName=holbrooki&fc=216&stockcode=5109
149,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2420&GenusName=Gasterosteus&SpeciesName=aculeatus&fc=260&stockcode=2615
150,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5321&GenusName=Genyagnus&SpeciesName=monopterygius&fc=378&stockcode=5561
151,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1556&GenusName=Gilchristella&SpeciesName=aestuaria&fc=43&stockcode=1749
152,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3854&GenusName=Gillichthys&SpeciesName=mirabilis&fc=405&stockcode=4050
153,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2532&GenusName=Ginglymostoma&SpeciesName=cirratum&fc=493&stockcode=2728
154,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3594&GenusName=Girella&SpeciesName=nigricans&fc=700&stockcode=3790
155,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4833&GenusName=Glossogobius&SpeciesName=giuris&fc=405&stockcode=5063
