,Available_Electrophoretic_Studies
175,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1002&GenusName=Pseudocaranx&SpeciesName=dentex
176,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2939&GenusName=Ptychocheilus&SpeciesName=lucius
177,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3273&GenusName=Pungitius&SpeciesName=pungitius
178,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=24828&GenusName=Pungitius&SpeciesName=sinensis
179,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8286&GenusName=Repomucenus&SpeciesName=huguenini
180,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=25836&GenusName=Repomucenus&SpeciesName=virgis
181,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8490&GenusName=Rexea&SpeciesName=solandri
182,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2944&GenusName=Rhinichthys&SpeciesName=cataractae
183,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=238&GenusName=Salmo&SpeciesName=trutta
184,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=247&GenusName=Salvelinus&SpeciesName=alpinus
185,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2690&GenusName=Salvelinus&SpeciesName=confluentus
186,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=246&GenusName=Salvelinus&SpeciesName=fontinalis
187,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3516&GenusName=Sander&SpeciesName=vitreus
188,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1350&GenusName=Sardina&SpeciesName=pilchardus
189,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1502&GenusName=Sardinella&SpeciesName=albella
190,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1043&GenusName=Sardinella&SpeciesName=aurita
191,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1507&GenusName=Sardinella&SpeciesName=fimbriata
192,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1511&GenusName=Sardinella&SpeciesName=longiceps
193,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5364&GenusName=Sargochromis&SpeciesName=carlottae
194,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5361&GenusName=Sargochromis&SpeciesName=codringtonii
195,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5363&GenusName=Sargochromis&SpeciesName=giardi
196,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1449&GenusName=Sarotherodon&SpeciesName=caudomarginatus
197,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1389&GenusName=Sarotherodon&SpeciesName=galilaeus
198,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1412&GenusName=Sarotherodon&SpeciesName=melanotheron
199,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1414&GenusName=Sarotherodon&SpeciesName=occidentalis
200,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4764&GenusName=Saurida&SpeciesName=elongata
201,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1055&GenusName=Saurida&SpeciesName=undosquamis
202,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=10411&GenusName=Saurida&SpeciesName=wanieso
203,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2446&GenusName=Schilbe&SpeciesName=mandibularis
204,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2447&GenusName=Schilbe&SpeciesName=mystus
205,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=116&GenusName=Scomber&SpeciesName=australasicus
206,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=117&GenusName=Scomber&SpeciesName=japonicus
207,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1348&GenusName=Scophthalmus&SpeciesName=maximus
208,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=529&GenusName=Scophthalmus&SpeciesName=rhombus
209,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=14390&GenusName=Scorpis&SpeciesName=aequipinnis
210,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=12235&GenusName=Scorpis&SpeciesName=violacea
211,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=387&GenusName=Selar&SpeciesName=crumenophthalmus
212,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=388&GenusName=Selaroides&SpeciesName=leptolepis
213,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5358&GenusName=Serranochromis&SpeciesName=angusticeps
214,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5362&GenusName=Serranochromis&SpeciesName=jallae
215,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5359&GenusName=Serranochromis&SpeciesName=macrocephalus
216,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5360&GenusName=Serranochromis&SpeciesName=thumbergi
217,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4614&GenusName=Siganus&SpeciesName=argenteus
218,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4456&GenusName=Siganus&SpeciesName=canaliculatus
219,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4611&GenusName=Siganus&SpeciesName=corallinus
220,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4616&GenusName=Siganus&SpeciesName=fuscescens
221,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4588&GenusName=Siganus&SpeciesName=guttatus
222,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4617&GenusName=Siganus&SpeciesName=puellus
223,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4620&GenusName=Siganus&SpeciesName=punctatissimus
224,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4621&GenusName=Siganus&SpeciesName=punctatus
225,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4457&GenusName=Siganus&SpeciesName=spinus
226,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4630&GenusName=Siganus&SpeciesName=unimaculatus
227,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4624&GenusName=Siganus&SpeciesName=virgatus
228,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=9399&GenusName=Siluranodon&SpeciesName=auritus
229,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1164&GenusName=Sparus&SpeciesName=aurata
230,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4482&GenusName=Squalius&SpeciesName=cephalus
231,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4347&GenusName=Stegastes&SpeciesName=fasciolatus
232,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=10608&GenusName=Synchiropus&SpeciesName=altivelis
233,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=7689&GenusName=Thorogobius&SpeciesName=ephippiatus
