,Species_for_which_disease_information_is_available
264,https://www.fishbase.de/Diseases/diseasesList.php?ID=8572&StockCode=8887
265,https://www.fishbase.de/Diseases/diseasesList.php?ID=3181&StockCode=3377
266,https://www.fishbase.de/Diseases/diseasesList.php?ID=1450&StockCode=1643
267,https://www.fishbase.de/Diseases/diseasesList.php?ID=2221&StockCode=2420
268,https://www.fishbase.de/Diseases/diseasesList.php?ID=10824&StockCode=11147
269,https://www.fishbase.de/Diseases/diseasesList.php?ID=4653&StockCode=4841
270,https://www.fishbase.de/Diseases/diseasesList.php?ID=5112&StockCode=5347
271,https://www.fishbase.de/Diseases/diseasesList.php?ID=4473&StockCode=4671
272,https://www.fishbase.de/Diseases/diseasesList.php?ID=1940&StockCode=2136
273,https://www.fishbase.de/Diseases/diseasesList.php?ID=1938&StockCode=2134
274,https://www.fishbase.de/Diseases/diseasesList.php?ID=374&StockCode=388
275,https://www.fishbase.de/Diseases/diseasesList.php?ID=4710&StockCode=4930
276,https://www.fishbase.de/Diseases/diseasesList.php?ID=12143&StockCode=12470
277,https://www.fishbase.de/Diseases/diseasesList.php?ID=10829&StockCode=11152
278,https://www.fishbase.de/Diseases/diseasesList.php?ID=10831&StockCode=11154
279,https://www.fishbase.de/Diseases/diseasesList.php?ID=63&StockCode=73
280,https://www.fishbase.de/Diseases/diseasesList.php?ID=25175&StockCode=19928
281,https://www.fishbase.de/Diseases/diseasesList.php?ID=526&StockCode=542
282,https://www.fishbase.de/Diseases/diseasesList.php?ID=12325&StockCode=12653
283,https://www.fishbase.de/Diseases/diseasesList.php?ID=4659&StockCode=5717
284,https://www.fishbase.de/Diseases/diseasesList.php?ID=1022&StockCode=1038
285,https://www.fishbase.de/Diseases/diseasesList.php?ID=928&StockCode=944
286,https://www.fishbase.de/Diseases/diseasesList.php?ID=11179&StockCode=11504
287,https://www.fishbase.de/Diseases/diseasesList.php?ID=2406&StockCode=2600
288,https://www.fishbase.de/Diseases/diseasesList.php?ID=3827&StockCode=4023
289,https://www.fishbase.de/Diseases/diseasesList.php?ID=1604&StockCode=1797
290,https://www.fishbase.de/Diseases/diseasesList.php?ID=1453&StockCode=1646
291,https://www.fishbase.de/Diseases/diseasesList.php?ID=2467&StockCode=2661
292,https://www.fishbase.de/Diseases/diseasesList.php?ID=12221&StockCode=12547
293,https://www.fishbase.de/Diseases/diseasesList.php?ID=412&StockCode=426
294,https://www.fishbase.de/Diseases/diseasesList.php?ID=8034&StockCode=8345
295,https://www.fishbase.de/Diseases/diseasesList.php?ID=10013&StockCode=10336
296,https://www.fishbase.de/Diseases/diseasesList.php?ID=3829&StockCode=4025
297,https://www.fishbase.de/Diseases/diseasesList.php?ID=340&StockCode=354
298,https://www.fishbase.de/Diseases/diseasesList.php?ID=66&StockCode=76
299,https://www.fishbase.de/Diseases/diseasesList.php?ID=3367&StockCode=3563
300,https://www.fishbase.de/Diseases/diseasesList.php?ID=7571&StockCode=7876
301,https://www.fishbase.de/Diseases/diseasesList.php?ID=11500&StockCode=11826
302,https://www.fishbase.de/Diseases/diseasesList.php?ID=10835&StockCode=11158
303,https://www.fishbase.de/Diseases/diseasesList.php?ID=12069&StockCode=12395
304,https://www.fishbase.de/Diseases/diseasesList.php?ID=7329&StockCode=7629
305,https://www.fishbase.de/Diseases/diseasesList.php?ID=7333&StockCode=7633
306,https://www.fishbase.de/Diseases/diseasesList.php?ID=6465&StockCode=6787
307,https://www.fishbase.de/Diseases/diseasesList.php?ID=4460&StockCode=4658
308,https://www.fishbase.de/Diseases/diseasesList.php?ID=16&StockCode=24
309,https://www.fishbase.de/Diseases/diseasesList.php?ID=6439&StockCode=6760
310,https://www.fishbase.de/Diseases/diseasesList.php?ID=6473&StockCode=6795
311,https://www.fishbase.de/Diseases/diseasesList.php?ID=4461&StockCode=4659
312,https://www.fishbase.de/Diseases/diseasesList.php?ID=6476&StockCode=6798
313,https://www.fishbase.de/Diseases/diseasesList.php?ID=4830&StockCode=5060
314,https://www.fishbase.de/Diseases/diseasesList.php?ID=23282&StockCode=18500
315,https://www.fishbase.de/Diseases/diseasesList.php?ID=258&StockCode=272
316,https://www.fishbase.de/Diseases/diseasesList.php?ID=2711&StockCode=2907
317,https://www.fishbase.de/Diseases/diseasesList.php?ID=1594&StockCode=1787
318,https://www.fishbase.de/Diseases/diseasesList.php?ID=4681&StockCode=4899
319,https://www.fishbase.de/Diseases/diseasesList.php?ID=908&StockCode=924
320,https://www.fishbase.de/Diseases/diseasesList.php?ID=96&StockCode=110
321,https://www.fishbase.de/Diseases/diseasesList.php?ID=97&StockCode=111
322,https://www.fishbase.de/Diseases/diseasesList.php?ID=13338&StockCode=13602
323,https://www.fishbase.de/Diseases/diseasesList.php?ID=13347&StockCode=13603
324,https://www.fishbase.de/Diseases/diseasesList.php?ID=11280&StockCode=11605
325,https://www.fishbase.de/Diseases/diseasesList.php?ID=12747&StockCode=13076
326,https://www.fishbase.de/Diseases/diseasesList.php?ID=3184&StockCode=3380
327,https://www.fishbase.de/Diseases/diseasesList.php?ID=5584&StockCode=5874
328,https://www.fishbase.de/Diseases/diseasesList.php?ID=9736&StockCode=10059
