Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
active,none specified,521.504,330.4,5.0,15.0,81.71560000000002,Morone americana
active,none specified*,449.9142045454544,359.1306818181818,7.590909090909091,16.931818181818183,80.00562500000007,Morone saxatilis
standard*,none specified*,191.7753623188406,200.3684210526316,23.84722222222222,21.17894736842105,87.34697368421052,Mugil cephalus
standard*,none specified,289.15000000000003,289.1666666666667,30.0,20.0,140.0,Mugil curema
routine,,148.51666666666668,53.77777777777778,32.0,9.444444444444445,147.53333333333336,Myoxocephalus octodecemspinosus
routine*,,267.8,167.14285714285714,,11.414285714285715,64.17142857142856,Myoxocephalus scorpius
routine*,hypoxia*,92.34,208.3,0.0,30.0,7.0600000000000005,Mystus armatus
standard,none specified,131.60555555555555,273.94444444444446,0.0,29.0,31.333333333333332,Mystus cavasius
routine,other stress*,69.8,124.0,0.0,27.0,12.0,Mystus gulio
routine,hypoxia*,143.940625,243.48333333333332,0.0,28.083333333333332,20.25166666666667,Mystus vittatus
standard*,none specified*,207.76666666666665,59.333333333333336,33.0,9.0,38.4,Myxine glutinosa
routine,none specified,83.8,16.0,35.0,5.0,2.9,Nannobrachium regale
routine,none specified,269.95000000000005,71.5,35.0,7.5,1.9500000000000002,Nannobrachium ritteri
routine,none specified,5718.024,7350.46,36.0,23.0,0.10460000000000003,Naucrates ductor
standard*,temperature,98.825,157.0,,25.05,2555.0,Negaprion brevirostris
standard,hypoxia,68.4,52.0,0.0,17.0,7.1,Neochanna burrowsius
standard,,95.8,216.0,,30.0,32.1,Neoglyphidodon melas
standard,,71.8,162.0,,30.0,14.9,Neoglyphidodon nigroris
standard,salinity,90.25,62.833333333333336,16.666666666666668,16.0,51.0,Neogobius melanostomus
routine,hypoxia,169.75,256.5,0.0,25.0,4.75,Neolamprologus brichardi
standard*,,426.15,962.6666666666666,,30.333333333333332,4.913333333333333,Neopomacentrus azysron
active,other stress,801.0,1753.5,,30.5,5.83,Neopomacentrus bankieri
active,other stress,599.3,1097.5,,30.5,5.35,Neopomacentrus cyanomos
routine,hypoxia,167.95999999999998,254.0,0.0,25.0,3.1799999999999997,Nimbochromis venustus
active,none specified,1026.85,1320.0,0.0,23.0,3.6,Notemigonus crysoleucas
routine,,,50.666666666666664,,0.6333333333333334,730.0,Notothenia coriiceps
routine,,636.7,110.0,,4.5,200.0,Notothenia cyanobrancha
standard*,none specified*,266.3,61.0,,1.8666666666666665,64.66666666666667,Notothenia neglecta
routine*,none specified*,533.5,95.07142857142857,34.0,2.585714285714286,253.11428571428561,Notothenia rossii
standard,,62.4,117.0,,27.7,19.3,Odonus niger
routine,none specified,109.07000000000001,191.16666666666666,11.5,26.5,6.299999999999998,Oligolepis acutipennis
active,other stress,1875.4,1188.0,,15.0,1600.0,Oncorhynchus gorbuscha
active,none specified,1448.328571428571,829.4285714285714,35.0,14.007142857142854,16.775714285714283,Oncorhynchus kisutch
