name,predators
Auxis thazard,"['Coryphaena hippurus', 'Alepisaurus sp.', 'Carcharhinus sorrah', 'Carcharhinus tilstoni', 'Stenella sp.', 'Istiophorus platypterus', 'Makaira indica', 'Makaira nigricans', 'Tetrapturus albidus', 'Tetrapturus audax', 'Alopias vulpinus', 'Platycephalus richardsoni', 'Acanthocybium solandri', 'Euthynnus affinis', 'Euthynnus alletteratus', 'Katsuwonus pelamis', 'Thunnus albacares', 'Thunnus obesus', 'Thunnus sp.', 'Thunnus thynnus thynnus', 'Sphyraena sp.']"
Avocettina infans,['Allocyttus verrucosus']
Azygopus pinnifasciatus,['Macruronus novaezelandiae']
Bagre bagre,['Carcharhinus porosus']
Bagre marinus,['Carcharhinus leucas']
Bagrus bajad,['Lates niloticus']
Bagrus docmak,['Lates niloticus']
Bagrus meridionalis,"['Labeotropheus fuelleborni', 'Melanochromis vermivorus', 'Protomelas taeniolatus', 'Pseudotropheus crabro']"
Bairdiella chrysoura,['Morone saxatilis']
Balistapus undulatus,"['Cephalopholis argus', 'Caranx melampygus']"
Balistes capriscus,"['Thunnus albacares', 'Coryphaena hippurus', 'Acanthocybium solandri']"
Balistes polylepis,"['Tetrapturus audax', 'Gymnothorax castaneus', 'Makaira mazara']"
Balistes vetula,"['Tetrapturus albidus', 'Tetrapturus pfluegeri', 'Euthynnus alletteratus', 'Katsuwonus pelamis', 'Thunnus alalunga', 'Thunnus albacares', 'Epinephelus striatus']"
Barbatula barbatula,"['Esox lucius', 'Lutra lutra']"
Barbus barbus,['Hucho hucho']
Bascanichthys bascanium,['Lobotes surinamensis']
Bassanago albescens,['Dipturus chilensis']
Bassanago bulbiceps,"['Cyttus traversi', 'Genypterus blacodes', 'Helicolenus percoides']"
Bathophilus flemingi,['Thunnus alalunga']
Bathyagonus alascanus,['Gadus macrocephalus']
Bathyagonus nigripinnis,"['Anoplopoma fimbria', 'Bathyraja aleutica']"
Bathyagonus pentacanthus,['gadus macrocephalus']
Bathygadus macrops,['Merluccius albidus']
Bathygobius fuscus,['Carangoides orthogrammus']
Bathylagus euryops,['Hoplostethus atlanticus']
Bathymaster signatus,"['Gadus macrocephalus', 'Hippoglossus stenolepis']"
Bathypterois dubius,['Centroscymnus coelolepis']
Bathyraja albomaculata,['Cottoperca gobio']
Bathyraja brachyurops,"['Cottoperca gobio', 'Bathyraja brachyurops']"
Bathyraja griseocauda,['Bathyraja griseocauda']
Bathyraja interrupta,['Bathyraja aleutica']
Bathyraja irrasa,['Somniosus pacificus']
Bathyraja multispinis,['Bathyraja griseocauda']
Bathyraja murrayi,['Somniosus pacificus']
Bathyraja scaphiops,['Bathyraja griseocauda']
Bellator loxias,['Merluccius gayi peruanus']
Bellator xenisma,['Carangoides otrynter']
Belone belone,"['Trachurus mediterraneus', 'Coryphaena hippurus', 'Merluccius merluccius', 'Phoca vitulina', 'Thunnus thynnus', 'Xiphias gladius']"
Bembrops gobioides,['Merluccius albidus']
Bembrops heterurus,['Lophius gastrophysus']
Benthodesmus simonyi,['Himantolophus groenlandicus']
Benthodesmus tenuis,['Galeus nipponensis']
Benthosema fibulatum,"['Trigonognathus kabeyai', 'Etelis carbunculus', 'Etelis coruscans']"
Benthosema glaciale,"['Scomber scombrus', 'Fratercula arctica', 'Thunnus alalunga']"
Benthosema panamense,['Stenella attenuata']
