,Genetics_Records
204,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3612&GenusName=Astronotus&SpeciesName=ocellatus
205,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=58108&GenusName=Astyanax&SpeciesName=altiparanae
206,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4475&GenusName=Astyanax&SpeciesName=bimaculatus
207,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=63313&GenusName=Astyanax&SpeciesName=bockmanni
208,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51298&GenusName=Astyanax&SpeciesName=eigenmanniorum
209,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8080&GenusName=Astyanax&SpeciesName=fasciatus
210,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51297&GenusName=Astyanax&SpeciesName=giton
211,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=58123&GenusName=Astyanax&SpeciesName=intermedius
212,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=58120&GenusName=Astyanax&SpeciesName=janeiroensis
213,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6181&GenusName=Astyanax&SpeciesName=jordani
214,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=58130&GenusName=Astyanax&SpeciesName=lacustris
215,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2740&GenusName=Astyanax&SpeciesName=mexicanus
216,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=50933&GenusName=Astyanax&SpeciesName=parahybae
217,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=58124&GenusName=Astyanax&SpeciesName=paranae
218,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=50931&GenusName=Astyanax&SpeciesName=pedri
219,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12868&GenusName=Astyanax&SpeciesName=scabripinnis
220,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51294&GenusName=Astyanax&SpeciesName=schubarti
221,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12941&GenusName=Astyanax&SpeciesName=taeniatus
222,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6229&GenusName=Ataeniobius&SpeciesName=toweri
223,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1696&GenusName=Atherina&SpeciesName=boyeri
224,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3235&GenusName=Atherinops&SpeciesName=affinis
225,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7302&GenusName=Atherion&SpeciesName=elymus
226,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49792&GenusName=Atlantirivulus&SpeciesName=santensis
227,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1929&GenusName=Atropus&SpeciesName=atropos
228,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=17462&GenusName=Atrosalarias&SpeciesName=fuscus
229,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2179&GenusName=Aulonocara&SpeciesName=baenschi
230,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2183&GenusName=Aulonocara&SpeciesName=hueseri
231,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2185&GenusName=Aulonocara&SpeciesName=korneliae
232,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2190&GenusName=Aulonocara&SpeciesName=stuartgranti
233,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6088&GenusName=Aulopyge&SpeciesName=huegelii
234,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4679&GenusName=Australoheros&SpeciesName=facetus
235,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49484&GenusName=Austrofundulus&SpeciesName=limnaeus
