,Relationship_Between_Fish_Brain_Weights_And_Body_Weights
129,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12827&GenusName=Assessor&SpeciesName=macneilli&fc=294
130,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7200&GenusName=Asterropteryx&SpeciesName=semipunctata&fc=405
131,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3612&GenusName=Astronotus&SpeciesName=ocellatus&fc=349
132,https://www.fishbase.de/physiology/BrainsDataList.php?ID=788&GenusName=Asymbolus&SpeciesName=analis&fc=10
133,https://www.fishbase.de/physiology/BrainsDataList.php?ID=57547&GenusName=Asymbolus&SpeciesName=rubiginosus&fc=10
134,https://www.fishbase.de/physiology/BrainsDataList.php?ID=45&GenusName=Atherina&SpeciesName=presbyter&fc=218
135,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1303&GenusName=Atherinomorus&SpeciesName=lacunosus&fc=218
136,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1893&GenusName=Atule&SpeciesName=mate&fc=314
137,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8138&GenusName=Aulonocranus&SpeciesName=dewindti&fc=349
138,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1309&GenusName=Aulostomus&SpeciesName=chinensis&fc=253
139,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2492&GenusName=Awaous&SpeciesName=lateristriga&fc=405
140,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15787&GenusName=Awaous&SpeciesName=ocellaris&fc=405
141,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8139&GenusName=Baileychromis&SpeciesName=centropomoides&fc=349
142,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6025&GenusName=Balistapus&SpeciesName=undulatus&fc=445
143,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&fc=445
144,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2300&GenusName=Balistoides&SpeciesName=conspicillum&fc=445
145,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8140&GenusName=Bathybates&SpeciesName=fasciatus&fc=349
146,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8141&GenusName=Bathybates&SpeciesName=ferox&fc=349
147,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8144&GenusName=Bathybates&SpeciesName=leo&fc=349
148,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7202&GenusName=Bathygobius&SpeciesName=cocosensis&fc=405
149,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11801&GenusName=Bathygobius&SpeciesName=cyclopterus&fc=405
150,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7201&GenusName=Bathygobius&SpeciesName=fuscus&fc=405
151,https://www.fishbase.de/physiology/BrainsDataList.php?ID=55527&GenusName=Bathygobius&SpeciesName=krefftii&fc=405
152,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15777&GenusName=Bathygobius&SpeciesName=niger&fc=405
153,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3837&GenusName=Bathygobius&SpeciesName=soporator&fc=405
154,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2569&GenusName=Bathyraja&SpeciesName=spinicauda&fc=685
155,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6381&GenusName=Bathytoshia&SpeciesName=brevicaudata&fc=20
156,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2572&GenusName=Bathytoshia&SpeciesName=centroura&fc=20
157,https://www.fishbase.de/physiology/BrainsDataList.php?ID=27065&GenusName=Bathytoshia&SpeciesName=lata&fc=20
158,https://www.fishbase.de/physiology/BrainsDataList.php?ID=47&GenusName=Belone&SpeciesName=belone&fc=207
159,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8148&GenusName=Benthochromis&SpeciesName=tricoti&fc=349
160,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1319&GenusName=Beryx&SpeciesName=decadactylus&fc=240
161,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1320&GenusName=Beryx&SpeciesName=splendens&fc=240
162,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6047&GenusName=Blenniella&SpeciesName=chrysospilos&fc=392
163,https://www.fishbase.de/physiology/BrainsDataList.php?ID=27183&GenusName=Blenniella&SpeciesName=paula&fc=392
164,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6051&GenusName=Blenniella&SpeciesName=periophthalmus&fc=392
165,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5497&GenusName=Bodianus&SpeciesName=anthioides&fc=362
