name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Alepocephalus rostratus,461.0,41.0,46.16666666666666,,,906.25,
Alepocephalus tenebrosus,,,,,,,
Alepocephalus triangularis,,,,,,,
Alepocephalus umbriceps,,,,,,,
Alertichthys blacki,,,,,,,
Alestes baremoze,,,,,,,
Alestes dentex,,,,,,,
Alestes macrophthalmus,,,,,,,
Alestopetersius caudalis,,,,,,,
Alfaro cultratus,,,,,,,
Algansea amecae,,,,,,,
Algansea aphanea,,,,,,,
Algansea avia,,,,,,,
Algansea barbata,,,,,,,
Algansea lacustris,,,,,,,
Algansea monticola,,,,,,,
Algansea popoche,,,,,,,
Algansea tincella,,,,,,,
Alionematichthys crassiceps,,,,,,,
Alionematichthys phuketensis,,,,,,,
Alionematichthys piger,,,,,,,
Alionematichthys plicatosurculus,,,,,,,
Alionematichthys riukiuensis,,,,,,,
Alionematichthys suluensis,,,,,,,
Allenbatrachus grunniens,,,,,,,
Allenbatrachus reticulatus,,,,,,,
Allenichthys glauerti,,,,,,,
Allips concolor,,,,,,,
Alloblennius frondiculus,,,,,,,
Alloblennius jugularis,,,,,,,
Alloblennius parvus,,,,,,,
Allocareproctus jordani,,,,,,,
Allocareproctus kallaion,,,,,,,
Allocareproctus tanix,,,,,,,
Allocareproctus unangas,,,,,,,
Allocareproctus ungak,,,,,,,
Alloclinus holderi,,,,,,,
Allocyttus folletti,,,,,,,
Allocyttus guineensis,,,,,,,
Allocyttus niger,,,,,,,
Allocyttus verrucosus,,,,,,,
Allodontichthys hubbsi,,,,,,,
Allodontichthys polylepis,,,,,,,
Allodontichthys tamazulae,,,,,,,
Allodontichthys zonistius,,,,,,,
Allomicrodesmus dorotheae,,,,,,,
Allomogurnda nesolepis,,,,,,,['Glossamia gjellerupi']
Allomycterus pilatus,,,,,,,
Alloophorus robustus,,,,,,,
Allosmerus elongatus,,,,,,,['Phoca vitulina']
Allothunnus fallai,,,,,,,
Allotoca catarinae,,,,,,,
Allotoca diazi,,,,,,,
Allotoca dugesii,,,,,,,
Allotoca goslinei,,,,,,,
Allotoca maculata,,,,,,,
Allotoca meeki,,,,,,,
Allotoca zacapuensis,,,,,,,
Alopias pelagicus,,,,,,,
Alopias superciliosus,31050.0,,,,,62730.0,
Alopias vulpinus,11130.0,,,,,5830.0,
