Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
1850.0,1261.0,0.682,,,,,Brama brama
3.14,76.39999999999999,25.76666666666667,,,,117394.0,Brevimyrus niger
13.244166666666665,117.875,9.815833333333334,,,,117394.0,Brienomyrus brachyistius
583.3333333333334,587.6666666666666,1.119,,,,,Brosme brosme
1.2,20.0,16.7,,,,104901.0,Brotula barbata
344.0,418.0,1.21,,,,,Brotula multibarbata
0.7,5.7,8.14,,,,,Bryaninops natans
8.28,18.02,3.3620000000000005,,,13.6,11344.0,Butis amboinensis
13.559999999999999,32.92,4.934,,,11.55,11344.0,Butis butis
200.0,838.0,4.19,,,,118717.0,Bythaelurus dawsoni
290.0,698.0,2.41,,,,,Caesio caerulaurea
335.0,611.0,1.82,,22.0,29.0,,Caesio cuning
24.737499999999997,46.7625,3.0662499999999997,,,18.0,11344.0,Caffrogobius caffer
8.615384615384615,19.692307692307693,4.633076923076922,,,10.85,11344.0,Caffrogobius gilchristi
18.05,47.075,3.0625,,,12.5,11344.0,Caffrogobius saldanha
23.0,68.0,2.96,,,,,Callionymus grossi
18.258536585365853,48.47073170731707,6.169536585365855,,8.713548387096772,11.325806451612902,,Callionymus lyra
13.5,53.666666666666664,4.46,,11.459999999999999,15.25,,Callionymus maculatus
19.5,67.0,3.44,,11.7,14.3,,Callionymus sublaevis
2.285555555555556,41.27777777777778,18.144444444444446,,5.95,,117969.66666666667,Callochromis melanostigma
5.92,63.03333333333333,10.811111111111112,,8.02,,117875.88888888889,Callochromis pleurospilus
9.0,17.05,1.905,,,6.75,11344.0,Callogobius sclateri
2850.0,3120.0,1.1,,,,117392.0,Callorhinchus milii
157.0,307.0,1.96,,17.7,20.5,,Calotomus spinidens
10.059999999999999,282.5,40.45,,,,117394.0,Campylomormyrus numenius
31.066666666666663,742.6666666666666,25.833333333333332,,,,117394.0,Campylomormyrus phantasticus
5.755,209.0,37.099999999999994,,,,117394.0,Campylomormyrus tamandua
380.6666666666667,466.6666666666667,1.8213333333333332,,,,,Cantherhines dumerilii
100.0,357.0,3.57,,14.9,17.5,,Cantherhines pardalis
52.0,242.0,4.65,,,,104901.0,Cantherhines pullus
41.0,199.0,4.85,,,,,Cantherhines verecundus
52.0,112.0,2.15,,,,,Canthigaster coronata
15.6,106.0,6.8,,,,,Canthigaster epilampra
17.5,82.0,4.69,,7.2,8.7,,Canthigaster jactator
13.75,48.0,4.59,,7.9,9.7,,Canthigaster margaritata
