,Eye_Pigment_Records
287,https://www.fishbase.de/physiology/visionlist.php?id=4906
288,https://www.fishbase.de/physiology/visionlist.php?id=4908
289,https://www.fishbase.de/physiology/visionlist.php?id=4909
290,https://www.fishbase.de/physiology/visionlist.php?id=7868
291,https://www.fishbase.de/physiology/visionlist.php?id=204
292,https://www.fishbase.de/physiology/visionlist.php?id=11168
293,https://www.fishbase.de/physiology/visionlist.php?id=2951
294,https://www.fishbase.de/physiology/visionlist.php?id=4967
295,https://www.fishbase.de/physiology/visionlist.php?id=5545
296,https://www.fishbase.de/physiology/visionlist.php?id=5548
297,https://www.fishbase.de/physiology/visionlist.php?id=5550
298,https://www.fishbase.de/physiology/visionlist.php?id=5551
299,https://www.fishbase.de/physiology/visionlist.php?id=4971
300,https://www.fishbase.de/physiology/visionlist.php?id=4969
301,https://www.fishbase.de/physiology/visionlist.php?id=4698
302,https://www.fishbase.de/physiology/visionlist.php?id=1707
303,https://www.fishbase.de/physiology/visionlist.php?id=117
304,https://www.fishbase.de/physiology/visionlist.php?id=118
305,https://www.fishbase.de/physiology/visionlist.php?id=121
306,https://www.fishbase.de/physiology/visionlist.php?id=122
307,https://www.fishbase.de/physiology/visionlist.php?id=136
308,https://www.fishbase.de/physiology/visionlist.php?id=1348
309,https://www.fishbase.de/physiology/visionlist.php?id=529
310,https://www.fishbase.de/physiology/visionlist.php?id=3943
311,https://www.fishbase.de/physiology/visionlist.php?id=4915
312,https://www.fishbase.de/physiology/visionlist.php?id=4921
313,https://www.fishbase.de/physiology/visionlist.php?id=5090
314,https://www.fishbase.de/physiology/visionlist.php?id=3950
315,https://www.fishbase.de/physiology/visionlist.php?id=3957
316,https://www.fishbase.de/physiology/visionlist.php?id=3978
317,https://www.fishbase.de/physiology/visionlist.php?id=4002
318,https://www.fishbase.de/physiology/visionlist.php?id=4003
319,https://www.fishbase.de/physiology/visionlist.php?id=387
320,https://www.fishbase.de/physiology/visionlist.php?id=3671
321,https://www.fishbase.de/physiology/visionlist.php?id=3589
322,https://www.fishbase.de/physiology/visionlist.php?id=1353
323,https://www.fishbase.de/physiology/visionlist.php?id=1761
324,https://www.fishbase.de/physiology/visionlist.php?id=4616
325,https://www.fishbase.de/physiology/visionlist.php?id=4617
